"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 29 03:07:33 UTC 2025","Sun Jun 29 03:07:35 UTC 2025","2013","","Signup API Tests","","Valid Signup","","Valid Signup",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","18","","Update Book API","","Update name, author, and summary","","Update name, author, and summary",""
"broken","Sun Jun 29 03:07:35 UTC 2025","Sun Jun 29 03:07:35 UTC 2025","27","","Signup API Tests","","Signup with missing email","","Signup with missing email",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","15","","Update Book API","","Update all fields","","Update all fields",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","17","","Health Check API","","Verify health endpoint is up","","Verify health endpoint is up",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","22","","Login API Token Generation","","Login with missing email","","Login with missing email",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","47","","Login API Token Generation","","Login with missing password","","Login with missing password",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","24","","Update Book API","","Update author and summary","","Update author and summary",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","22","","Create Book API","","Create a book with valid data","","Create a book with valid data",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","26","","Get API","","Get root endpoint status","","Get root endpoint status",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","17","","Get Book by ID API","","Retrieve a book by its ID","","Retrieve a book by its ID",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","18","","Update Book API","","Update only book summary","","Update only book summary",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","21","","Update Book API","","Update published year and name","","Update published year and name",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","18","","Update Book API","","Update name and author","","Update name and author",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","19","","Update Book API","","Update only published year","","Update only published year",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","21","","Update Book API","","Update summary and published year","","Update summary and published year",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","22","","Update Book API","","Update only book name","","Update only book name",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","30","","Login API Token Generation","","Valid login with correct email and password","","Valid login with correct email and password",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","14","","Delete Book API","","Delete a book by ID","","Delete a book by ID",""
"broken","Sun Jun 29 03:07:35 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","24","","Signup API Tests","","Signup with missing password","","Signup with missing password",""
"broken","Sun Jun 29 03:07:36 UTC 2025","Sun Jun 29 03:07:36 UTC 2025","18","","Update Book API","","Update only author","","Update only author",""
